STORE_ID,LATITUDE,LONGITUDE,DAYS_OPEN,ITEM_AVAILABILITY,ZONE,BOOKMARKS
10229,38.70461707,-121.3629237,7.0,78.0,SACRAMNTO-STKTON-MODESTO,
10469,34.088508,-117.908557,7.0,89.0,LOS ANGELES,
10181,26.38568579,-80.07610106,7.0,90.0,WEST PALM BEACH-FT. PIERCE,
12903,33.39262828,-112.1329743,7.0,123.0,PHOENIX (PRESCOTT),
1549,41.4694649,-75.6087604,7.0,19.0,WILKES BARRE-SCRANTON,
6543,34.3436624,-119.0806285,7.0,67.0,LOS ANGELES,
11158,31.8639595,-102.397376,7.0,56.0,ODESSA-MIDLAND,
6859,34.4702947,-117.2934667,7.0,165.0,LOS ANGELES,
1542,41.0164603,-76.8553846,7.0,14.0,WILKES BARRE-SCRANTON,
1721,42.3630915,-71.0555571,7.0,54.0,BOSTON (MANCHESTER),
9503,33.49367697,-111.9082367,7.0,168.0,PHOENIX (PRESCOTT),
4804,37.6680458,-82.2762151,7.0,,CHARLESTON-HUNTINGTON,
2685,42.3471281,-71.068255,7.0,129.0,BOSTON (MANCHESTER),
12265,33.88817602,-117.8638441,7.0,121.0,LOS ANGELES,
11132,41.55854932,-93.76999412,7.0,69.0,DES MOINES-AMES,
1101,42.167929,-71.3540927,7.0,145.0,BOSTON (MANCHESTER),
6867,34.0901347,-118.3760522,7.0,157.0,LOS ANGELES,
6866,34.3002296,-118.4427223,7.0,222.0,LOS ANGELES,
6905,34.0341225,-118.6948417,7.0,50.0,LOS ANGELES,
5803,27.5867761,-80.4299573,7.0,37.0,WEST PALM BEACH-FT. PIERCE,
6657,33.6532783,-112.255633,7.0,92.0,PHOENIX (PRESCOTT),
8472,42.06364848,-71.0161114,7.0,214.0,BOSTON (MANCHESTER),
752,42.5335452,-71.744176,7.0,82.0,BOSTON (MANCHESTER),
2526,38.4543544,-121.3700657,7.0,66.0,SACRAMNTO-STKTON-MODESTO,
171,34.4152924,-118.4746261,6.0,95.0,LOS ANGELES,
7508,38.4336775,-82.1241225,7.0,13.0,CHARLESTON-HUNTINGTON,
9664,33.49532859,-112.0295908,7.0,36455.0,PHOENIX (PRESCOTT),
70,42.9934661,-71.4626347,2.5,26.0,BOSTON (MANCHESTER),
14039,33.9850005,-118.2241983,7.0,1399.0,LOS ANGELES,
6903,34.1967689,-119.196342,7.0,106.0,LOS ANGELES,
9156,33.58135372,-112.1855087,7.0,57.0,PHOENIX (PRESCOTT),
